Player,Opponent Team,Venue,Avg Run,Avg Run WV,Strike Rate,Strike Rate WV,Economy,Economy WV,Wickets per Match,Wickets per Match WV,Bowling Avg,Bowling Avg WV,Win Percentage
DL Vettori,Kings XI Punjab,Newlands,10,1.6666666666666667,70,70,5.0,5.434782608695652,5.0,1.1666666666666667,3.0,17.857142857142858,33
DL Vettori,Kings XI Punjab,Feroz Shah Kotla,2.0,1.6666666666666667,50,55,6.75,5.434782608695652,0.0,1.1666666666666667,65,17.857142857142858,33
DL Vettori,Kings XI Punjab,OUTsurance Oval,1.0,1.6666666666666667,50,55,3.75,5.434782608695652,0.0,1.1666666666666667,65,17.857142857142858,33
DL Vettori,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2.0,1.6666666666666667,66,55,6.25,5.434782608695652,0.0,1.1666666666666667,65,17.857142857142858,33
DL Vettori,Kings XI Punjab,M Chinnaswamy Stadium,10,1.6666666666666667,70,70,5.375,5.434782608695652,1.0,1.1666666666666667,21.5,17.857142857142858,33
DL Vettori,Royal Challengers Bangalore,Feroz Shah Kotla,19.0,11.5,111,121,7.375,7.875,1.0,0.75,29.5,42.0,50
DL Vettori,Royal Challengers Bangalore,New Wanderers Stadium,4.0,11.5,200,121,8.0,7.875,0.0,0.75,65,42.0,50
DL Vettori,Royal Challengers Bangalore,St George's Park,10,11.5,70,70,8.75,7.875,1.0,0.75,35.0,42.0,50
DL Vettori,Deccan Chargers,SuperSport Park,10,3.0,70,70,8.666666666666666,7.857142857142857,1.0,0.5,26.0,55.0,40
DL Vettori,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",3.0,3.0,50,50,7.25,7.857142857142857,0.0,0.5,65,55.0,40
DL Vettori,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",10,10,70,70,4.75,4.625,3.0,1.5,6.333333333333333,12.333333333333334,50
DL Vettori,Mumbai Indians,M Chinnaswamy Stadium,10,10,70,70,4.5,4.625,0.0,1.5,65,12.333333333333334,50
DL Vettori,Chennai Super Kings,Wankhede Stadium,10,1.0,70,70,10.5,7.416666666666667,0.0,0.8333333333333334,65,35.6,40
DL Vettori,Chennai Super Kings,Kingsmead,10,1.0,70,70,7.75,7.416666666666667,3.0,0.8333333333333334,10.333333333333334,35.6,40
DL Vettori,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1.0,1.0,75,75,7.5,7.416666666666667,0.0,0.8333333333333334,65,35.6,40
DL Vettori,Chennai Super Kings,M Chinnaswamy Stadium,10,1.0,70,70,3.75,7.416666666666667,2.0,0.8333333333333334,7.5,35.6,40
DL Vettori,Kolkata Knight Riders,Eden Gardens,8.0,12.0,145,150,7.333333333333333,7.333333333333333,1.3333333333333333,1.25,22.0,22.0,40
