Player,Opponent Team,Venue,Match ID,Avg Run,Strike Rate,Economy,Bowling Avg,Wickets per Match
SB Joshi,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,3.0,37,8.666666666666666,65,0.0
P Kumar,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,18.0,105,10.25,65,0.0
Z Khan,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,3.0,37,9.5,38.0,1.0
V Kohli,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,1.0,20,16,65,0
B Akhil,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,0.0,0,16,65,0
SC Ganguly,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,10.0,83,5.75,7.666666666666667,3.0
W Jaffer,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,6.0,33,16,65,0
JH Kallis,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,8.0,114,13.0,52.0,1.0
R Dravid,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,2.0,66,16,65,0
AA Noffke,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,9.0,75,10.25,41.0,1.0
DJ Hussey,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,12.0,100,16,65,0
Mohammad Hafeez,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,5.0,166,16,65,0
CL White,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,6.0,60,24.0,65,0.0
AB Agarkar,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,10,70,6.25,8.333333333333334,3.0
AB Dinda,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,10,70,3.0,4.5,2.0
BB McCullum,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,158.0,205,16,65,0
LR Shukla,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,10,70,6.0,12.0,1.0
I Sharma,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,10,70,4.333333333333333,13.0,1.0
RT Ponting,Royal Challengers Bangalore,M Chinnaswamy Stadium,335982,20.0,100,16,65,0
MV Boucher,Kolkata Knight Riders,M Chinnaswamy Stadium,335982,7.0,63,16,65,0
ML Hayden,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,25.0,147,16,65,0
SK Raina,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,32.0,228,16,65,0
S Badrinath,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,31.0,221,16,65,0
MS Gony,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,10,70,10.75,43.0,1.0
M Muralitharan,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,10,70,8.75,35.0,1.0
MS Dhoni,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,2.0,66,16,65,0
MEK Hussey,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",335983,116.0,214,16,65,0
KC Sangakkara,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",335983,54.0,154,16,65,0
K Goel,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",335983,24.0,120,12.5,65,0.0
S Sreesanth,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",335983,10,70,11.666666666666666,65,0.0
SM Katich,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",335983,21.0,123,16,65,0
